tau,tauDot,q,qDot,u
-1,0,-96.4038,0,0
-1,0,-96.3977,0,0
-1,0,-96.3916,0,0
-1,0,-96.3854,0,0
-1,0,-96.3793,0,0
-1,0,-96.3731,0,0
-1,0,-96.367,0,0
-1,0,-96.3609,0,0
-1,0,-96.3547,0,0
-1,0,-96.3486,0,0
-1,0,-96.3425,0,0
-1,0,-96.3363,0,0
-1,0,-96.3302,0,0
-1,0,-96.324,0,0
-1,0,-96.3179,0,0
-1,0,-96.3118,0,0
-1,0,-96.3056,0,0
-1,0,-96.2995,0,0
-1,0,-96.2934,0,0
-1,0,-96.2872,0,0
-1,0,-96.2811,0,0
-1,0,-96.275,0,0
-1,0,-96.2688,0,0
-1,0,-96.2627,0,0
-1,0,-96.2566,0,0
-1,0,-96.2504,0,0
-1,0,-96.2443,0,0
-1,0,-96.2382,0,0
-1,0,-96.2321,0,0
-1,0,-96.2259,0,0
-1,0,-96.2198,0,0
-1,0,-96.2137,0,0
-1,0,-96.2075,0,0
-1,0,-96.2014,0,0
-1,0,-96.1953,0,0
-1,0,-96.1892,0,0
-1,0,-96.183,0,0
-1,0,-96.1769,0,0
-1,0,-96.1708,0,0
-1,0,-96.1647,0,0
-1,0,-96.1585,0,0
-1,0,-96.1524,0,0
-1,0,-96.1463,0,0
-1,0,-96.1402,0,0
-1,0,-96.134,0,0
-1,0,-96.1279,0,0
-1,0,-96.1218,0,0
-1,0,-96.1157,0,0
-1,0,-96.1095,0,0
-1,0,-96.1034,0,0
-1,0,-96.0973,0,0
-1,0,-96.0912,0,0
-1,0,-96.0851,0,0
-1,0,-96.0789,0,0
-1,0,-96.0728,0,0
-1,0,-96.0667,0,0
-1,0,-96.0606,0,0
-1,0,-96.0545,0,0
-1,0,-96.0484,0,0
-1,0,-96.0422,0,0
-1,0,-96.0361,0,0
-1,0,-96.03,0,0
-1,0,-96.0239,0,0
-1,0,-96.0178,0,0
-1,0,-96.0117,0,0
-1,0,-96.0055,0,0
-1,0,-95.9994,0,0
-1,0,-95.9933,0,0
-1,0,-95.9872,0,0
-1,0,-95.9811,0,0
-1,0,-95.975,0,0
-1,0,-95.9689,0,0
-1,0,-95.9627,0,0
-1,0,-95.9566,0,0
-1,0,-95.9505,0,0
-1,0,-95.9444,0,0
-1,0,-95.9383,0,0
-1,0,-95.9322,0,0
-1,0,-95.9261,0,0
-1,0,-95.92,0,0
-1,0,-95.9139,0,0
-1,0,-95.9077,0,0
-1,0,-95.9016,0,0
-1,0,-95.8955,0,0
-1,0,-95.8894,0,0
-1,0,-95.8833,0,0
-1,0,-95.8772,0,0
-1,0,-95.8711,0,0
-1,0,-95.865,0,0
-1,0,-95.8589,0,0
-1,0,-95.8528,0,0
-1,0,-95.8467,0,0
-1,0,-95.8406,0,0
-1,0,-95.8345,0,0
-1,0,-95.8284,0,0
-1,0,-95.8223,0,0
-1,0,-95.8162,0,0
-1,0,-95.8101,0,0
-1,0,-95.804,0,0
-1,0,-95.7979,0,0
-1,0,-95.7917,0,0
-1,0,-95.7856,0,0
-1,0,-95.7795,0,0
-1,0,-95.7734,0,0
-1,0,-95.7673,0,0
-1,0,-95.7612,0,0
-1,0,-95.7551,0,0
-1,0,-95.749,0,0
-1,0,-95.743,0,0
-1,0,-95.7369,0,0
-1,0,-95.7308,0,0
-1,0,-95.7247,0,0
-1,0,-95.7186,0,0
-1,0,-95.7125,0,0
-1,0,-95.7064,0,0
-1,0,-95.7003,0,0
-1,0,-95.6942,0,0
-1,0,-95.6881,0,0
-1,0,-95.682,0,0
-1,0,-95.6759,0,0
-1,0,-95.6698,0,0
-1,0,-95.6637,0,0
-1,0,-95.6576,0,0
-1,0,-95.6515,0,0
-1,0,-95.6454,0,0
-1,0,-95.6393,0,0
-1,0,-95.6332,0,0
-1,0,-95.6272,0,0
-1,0,-95.6211,0,0
-1,0,-95.615,0,0
-1,0,-95.6089,0,0
-1,0,-95.6028,0,0
-1,0,-95.5967,0,0
-1,0,-95.5906,0,0
-1,0,-95.5845,0,0
-1,0,-95.5784,0,0
-1,0,-95.5724,0,0
-1,0,-95.5663,0,0
-1,0,-95.5602,0,0
-1,0,-95.5541,0,0
-1,0,-95.548,0,0
-1,0,-95.5419,0,0
-1,0,-95.5358,0,0
-1,0,-95.5297,0,0
-1,0,-95.5237,0,0
-1,0,-95.5176,0,0
-1,0,-95.5115,0,0
-1,0,-95.5054,0,0
-1,0,-95.4993,0,0
-1,0,-95.4932,0,0
-1,0,-95.4872,0,0
-1,0,-95.4811,0,0
-1,0,-95.475,0,0
-1,0,-95.4689,0,0
-1,0,-95.4628,0,0
-1,0,-95.4568,0,0
-1,0,-95.4507,0,0
-1,0,-95.4446,0,0
-1,0,-95.4385,0,0
-1,0,-95.4324,0,0
-1,0,-95.4264,0,0
-1,0,-95.4203,0,0
-1,0,-95.4142,0,0
-1,0,-95.4081,0,0
-1,0,-95.4021,0,0
-1,0,-95.396,0,0
-1,0,-95.3899,0,0
-1,0,-95.3838,0,0
-1,0,-95.3778,0,0
-1,0,-95.3717,0,0
-1,0,-95.3656,0,0
-1,0,-95.3595,0,0
-1,0,-95.3535,0,0
-1,0,-95.3474,0,0
-1,0,-95.3413,0,0
-1,0,-95.3352,0,0
-1,0,-95.3292,0,0
-1,0,-95.3231,0,0
-1,0,-95.317,0,0
-1,0,-95.311,0,0
-1,0,-95.3049,0,0
-1,0,-95.2988,0,0
-1,0,-95.2927,0,0
-1,0,-95.2867,0,0
-1,0,-95.2806,0,0
-1,0,-95.2745,0,0
-1,0,-95.2685,0,0
-1,0,-95.2624,0,0
-1,0,-95.2563,0,0
-1,0,-95.2503,0,0
-1,0,-95.2442,0,0
-1,0,-95.2381,0,0
-1,0,-95.2321,0,0
-1,0,-95.226,0,0
-1,0,-95.2199,0,0
-1,0,-95.2139,0,0
-1,0,-95.2078,0,0
-1,0,-95.2017,0,0
-1,0,-95.1957,0,0
-1,0,-95.1896,0,0
-1,0,-95.1835,0,0
-1,0,-95.1775,0,0
-1,0,-95.1714,0,0
-1,0,-95.1654,0,0
-1,0,-95.1593,0,0
-1,0,-95.1532,0,0
-1,0,-95.1472,0,0
-1,0,-95.1411,0,0
-1,0,-95.1351,0,0
-1,0,-95.129,0,0
-1,0,-95.1229,0,0
-1,0,-95.1169,0,0
-1,0,-95.1108,0,0
-1,0,-95.1048,0,0
-1,0,-95.0987,0,0
-1,0,-95.0927,0,0
-1,0,-95.0866,0,0
-1,0,-95.0805,0,0
-1,0,-95.0745,0,0
-1,0,-95.0684,0,0
-1,0,-95.0624,0,0
-1,0,-95.0563,0,0
-1,0,-95.0503,0,0
-1,0,-95.0442,0,0
-1,0,-95.0382,0,0
-1,0,-95.0321,0,0
-1,0,-95.0261,0,0
-1,0,-95.02,0,0
-1,0,-95.0139,0,0
-1,0,-95.0079,0,0
-1,0,-95.0018,0,0
-1,0,-94.9958,0,0
-1,0,-94.9897,0,0
-1,0,-94.9837,0,0
-1,0,-94.9776,0,0
-1,0,-94.9716,0,0
